Study_Hours,Motivation_Score,Teaching_Method,Proficiency_Level
7.49,4,CLT,3
19.01,3,CLT,2
14.64,7,CLT,2
11.97,8,CLT,2
3.12,4,CLT,2
3.12,2,Traditional,4
1.16,10,Traditional,2
17.32,3,CLT,3
12.02,1,CLT,4
14.16,8,CLT,3
0.41,3,CLT,1
19.4,10,CLT,2
16.65,7,Traditional,2
4.25,10,CLT,2
3.64,5,Traditional,2
3.67,10,Traditional,3
6.08,5,CLT,2
10.5,7,Traditional,2
8.64,9,CLT,3
5.82,5,CLT,2
12.24,1,CLT,4
2.79,10,Traditional,3
5.84,10,Traditional,2
7.33,1,Traditional,3
9.12,2,Traditional,2
15.7,6,Traditional,3
3.99,9,Traditional,2
10.28,8,Traditional,3
11.85,5,Traditional,3
0.93,1,CLT,1
12.15,7,CLT,2
3.41,5,Traditional,1
1.3,6,CLT,3
18.98,7,CLT,2
19.31,3,Traditional,4
16.17,10,CLT,3
6.09,3,CLT,3
1.95,5,Traditional,4
13.68,6,Traditional,4
8.8,9,CLT,4
2.44,5,Traditional,2
9.9,1,Traditional,2
0.69,4,CLT,1
18.19,5,CLT,2
5.18,10,Traditional,2
13.25,10,CLT,3
6.23,5,CLT,2
10.4,7,CLT,3
10.93,4,CLT,4
3.7,1,CLT,2
19.39,5,CLT,3
15.5,7,CLT,4
18.79,10,CLT,4
17.9,10,Traditional,3
11.96,6,CLT,4
18.44,5,Traditional,4
1.77,4,CLT,4
3.92,2,Traditional,1
0.9,4,CLT,2
6.51,10,Traditional,2
7.77,10,Traditional,1
5.43,3,CLT,3
16.57,10,Traditional,3
7.14,1,CLT,4
5.62,8,CLT,1
10.85,5,CLT,4
2.82,4,CLT,3
16.04,8,CLT,3
1.49,7,CLT,4
19.74,2,Traditional,3
15.44,1,CLT,2
3.97,4,CLT,4
0.11,8,CLT,2
16.31,2,CLT,1
14.14,3,CLT,4
14.58,1,Traditional,2
15.43,1,CLT,3
1.48,3,CLT,2
7.17,5,CLT,4
2.32,3,CLT,1
17.26,1,Traditional,4
12.47,1,CLT,3
6.62,8,CLT,1
1.27,10,Traditional,3
6.22,2,CLT,4
6.5,3,Traditional,2
14.59,2,CLT,1
12.75,3,Traditional,2
17.74,7,CLT,3
9.44,1,Traditional,3
2.39,10,CLT,3
14.26,8,CLT,2
15.22,10,CLT,2
11.23,10,Traditional,3
15.42,10,Traditional,3
9.88,2,Traditional,1
10.45,3,CLT,4
8.55,9,Traditional,3
0.51,7,CLT,3
2.16,4,CLT,4
0.63,10,CLT,3
12.73,5,Traditional,3
6.29,2,CLT,2
10.17,8,CLT,1
18.15,4,Traditional,2
4.99,9,CLT,3
8.21,5,CLT,3
15.11,9,CLT,2
4.58,4,CLT,1
1.54,10,CLT,2
5.8,5,CLT,2
3.22,9,Traditional,3
18.59,8,CLT,2
16.16,3,CLT,3
12.67,1,Traditional,2
17.43,3,CLT,3
16.07,4,CLT,4
3.73,2,CLT,2
17.85,1,CLT,4
10.79,7,CLT,2
16.15,8,Traditional,2
17.92,7,Traditional,4
6.36,5,CLT,1
2.2,1,CLT,1
4.56,7,CLT,3
8.54,7,Traditional,1
16.36,9,CLT,4
17.21,3,CLT,3
0.14,9,CLT,4
10.21,1,CLT,3
8.35,1,Traditional,2
4.44,4,CLT,4
2.4,9,Traditional,2
6.75,6,CLT,4
18.86,3,Traditional,1
6.46,1,CLT,2
10.38,4,CLT,2
14.06,9,Traditional,3
7.27,3,Traditional,1
19.44,9,Traditional,4
19.25,7,CLT,4
5.04,4,Traditional,4
9.94,3,CLT,1
6.02,10,Traditional,3
5.7,5,CLT,2
0.74,5,Traditional,1
12.19,3,Traditional,2
10.05,9,Traditional,2
1.03,4,CLT,3
5.57,5,CLT,3
18.17,4,Traditional,2
4.79,5,CLT,1
2.9,7,Traditional,1
9.79,9,Traditional,1
19.71,7,CLT,4
4.84,5,Traditional,1
13.44,10,CLT,2
15.23,10,Traditional,2
4.75,7,Traditional,3
14.56,10,CLT,4
7.36,5,CLT,3
12.65,3,Traditional,3
12.67,7,CLT,3
10.72,2,CLT,1
1.81,9,CLT,4
16.71,10,CLT,3
6.42,10,CLT,3
3.73,1,CLT,3
0.82,6,CLT,3
11.82,7,Traditional,3
13.55,8,CLT,4
0.33,10,CLT,4
10.24,9,CLT,3
4.53,2,CLT,3
12.9,10,CLT,1
3.49,2,Traditional,3
13.82,5,Traditional,1
7.73,5,CLT,3
18.73,6,Traditional,4
2.75,3,Traditional,2
6.82,8,CLT,3
2.27,1,Traditional,1
18.49,6,Traditional,2
17.55,4,CLT,3
5.16,1,CLT,1
13.2,7,Traditional,1
16.34,9,Traditional,3
11.1,4,CLT,4
10.59,4,Traditional,3
4.84,6,Traditional,1
1.86,3,Traditional,2
17.94,6,Traditional,3
18.01,7,Traditional,3
12.66,10,CLT,3
6.78,10,CLT,2
6.98,3,Traditional,2
14.52,7,Traditional,3
17.94,3,CLT,4
17.74,2,CLT,3
15.6,10,Traditional,3
12.84,4,CLT,2
1.68,8,Traditional,2
3.23,9,Traditional,3
17.97,7,Traditional,3
12.13,1,CLT,3
0.18,3,CLT,3
2.03,9,CLT,3
13.27,1,CLT,2
0.1,9,CLT,4
3.22,8,CLT,2
10.97,1,CLT,2
13.84,6,CLT,4
13.04,5,CLT,1
4.49,6,CLT,1
14.24,10,CLT,3
4.74,5,Traditional,4
6.51,6,Traditional,1
14.93,5,CLT,1
12.99,5,Traditional,1
16.98,4,CLT,1
13.15,3,Traditional,1
11.37,3,CLT,2
1.87,4,Traditional,2
7.35,9,Traditional,2
5.3,2,Traditional,2
4.88,9,Traditional,1
19.46,1,CLT,2
7.86,1,CLT,2
17.84,5,Traditional,3
12.62,6,CLT,1
15.9,6,Traditional,3
10.05,3,CLT,2
11.54,7,CLT,4
9.85,9,CLT,3
3.9,10,CLT,3
14.45,8,Traditional,2
5.62,6,CLT,4
0.49,8,CLT,1
12.91,5,CLT,1
3.54,8,CLT,2
18.81,10,Traditional,2
19.08,4,CLT,4
18.3,10,CLT,4
7.4,8,CLT,2
0.31,10,Traditional,3
18.57,2,CLT,4
8.56,5,Traditional,4
19.33,9,Traditional,3
19.27,4,CLT,4
17.06,6,CLT,4
5.89,1,CLT,3
7.7,9,CLT,1
17.02,1,Traditional,2
6.34,5,Traditional,3
3.39,4,CLT,1
11.14,3,CLT,4
18.72,6,CLT,2
13.92,2,Traditional,1
11.4,3,CLT,2
1.94,5,CLT,1
12.3,9,Traditional,4
19.8,2,Traditional,4
2.8,10,CLT,3
10.37,8,Traditional,3
17.55,2,Traditional,2
14.82,5,CLT,3
13.94,7,CLT,3
14.05,8,CLT,3
7.19,1,CLT,1
5.87,6,Traditional,2
16.19,1,Traditional,2
16.2,2,CLT,4
17.34,1,CLT,4
18.26,5,CLT,3
10.23,10,CLT,3
10.03,9,Traditional,3
15.97,6,CLT,1
13.0,1,CLT,4
14.04,1,CLT,4
15.92,2,Traditional,2
17.8,9,CLT,3
6.76,3,Traditional,1
7.51,1,CLT,2
1.88,5,Traditional,1
11.57,7,Traditional,4
0.72,6,CLT,1
9.31,1,CLT,2
10.85,5,Traditional,4
5.73,5,Traditional,3
11.82,6,CLT,2
0.61,3,CLT,1
0.75,5,Traditional,1
16.45,7,CLT,3
7.2,5,CLT,1
2.54,5,Traditional,2
10.44,5,CLT,4
15.4,10,CLT,2
4.32,10,CLT,4
12.46,3,CLT,4
1.71,1,CLT,1
